TRAVEL_ID,VISIT_AREA_ID,ACTIVITY_TYPE_CD,ACTIVITY_TYPE_SEQ,ACTIVITY_ETC,ACTIVITY_DTL,RSVT_YN,EXPND_SE,ADMISSION_SE
e_e000538,2306040006,1,0,,조개구이 소;해물칼국수1;해물파전1;소주1,Y,1,
e_e000538,2306040007,1,0,,미니케이크,N,1,
e_e000538,2306050002,1,0,,모듬생선구이정식;장어추가;공기밥,Y,1,
e_e000538,2306050004,2,1,,빵;주스,N,1,
e_e000538,2306040003,3,0,,놀이기구탑승;퍼레이드감상,Y,1,1
e_e000538,2306040005,3,0,,수영;온천욕,Y,5,1
e_e000538,2306050004,3,0,,키즈존 놀이 활동,N,5,1
e_e000538,2306050003,3,2,,소라게잡기;모래놀이,N,5,1
e_e000538,2306050003,4,0,,,,,
e_e000538,2306040002,5,1,,,,,
e_e000538,2306050003,5,1,,,,,
e_e000568,2305200005,1,0,,안심가츠정식;살치살크림파스타,N,1,
e_e000568,2305200006,1,0,,아이스아메리카노;카페라떼 (2인 입장료 및 음료 포함 금액),N,1,
e_e000568,2305200010,1,0,,우육탕면;마늘쫑 돼지고기 덮밥;테라,N,1,
e_e000568,2305200011,1,0,,크루저블루베리병;뉴욕치즈케익큐브 과자,N,2,
e_e000568,2305200004,2,0,,춘식이 PVC 마그넷 2개,N,1,
e_e000568,2305200007,2,0,,여름 반팔 셔츠 (아이쇼핑),N,5,
e_e000568,2305200009,2,0,,모자 및 운동화 (아이쇼핑),N,5,
e_e000568,2305200008,3,0,,사진촬영 부스 체험;타로 체험,Y,5,1
e_e000568,2305200006,3,1,,강아지 먹이주기 체험 및 카페 음료 취식 (2인 입장료 및 음료 포함 금액),N,5,1
e_e000568,2305200011,4,1,,,,,
e_e000568,2305200006,5,2,,,,,
e_e000568,2305200003,7,0,,,,,
e_e000568,2305200012,7,0,,,,,
e_e000568,2305200013,7,0,,,,,
e_e000568,2305200002,7,1,,,,,
e_e000573,2305200003,1,0,,갈비탕 (솥밥),N,1,
e_e000573,2305200004,1,0,,무화과깜빠뉴;초코베리스콘;아이스아메리카노,N,1,
e_e000573,2305200006,1,0,,아이스아메리카노;파이스틱,N,1,
e_e000573,2305200002,1,4,,아이스아메리카노;자몽에이드,N,1,
e_e000573,2305200002,3,5,,식물원관람;컵에그림그리기 체험,Y,1,1
e_e000573,2305200002,3,8,,컵에그림그리기,N,5,1
e_e000573,2305200005,4,0,,,,,
e_e000573,2305200002,4,6,,,,,
e_e000573,2305200003,5,1,,,,,
e_e000573,2305200004,5,1,,,,,
e_e000573,2305200006,5,1,,,,,
e_e000573,2305200002,5,7,,,,,
e_e000589,2305170003,1,0,,즉석떡볶이,N,1,
e_e000589,2305170004,1,0,,커피,N,1,
e_e000589,2305170002,2,1,,벨리곰 굿즈 아이쇼핑,N,5,
e_e000589,2305170005,3,0,,연극 댄스네이션 관람,Y,5,2
e_e000589,2305170002,3,2,,이상한 DDP의 벨리곰 관람,N,5,2
e_e000589,2305170002,4,3,,,,,
e_e000589,2305170004,5,1,,,,,
e_e000592,2305200003,1,0,,중국요리;북경오리;탄탄면;마파두부,Y,1,
e_e000592,2305200004,1,0,,커피,N,1,
e_e000592,2305200007,1,0,,모듬꼬치;알탕;하이볼,N,1,
e_e000592,2305200006,3,0,,본관 및 영빈관 내부 입장 후 관람,Y,5,2
e_e000592,2305200005,4,0,,,,,
e_e000592,2305200006,4,1,,,,,
e_e000614,2305260003,1,0,,초밥26p(광어;연어;토핑연어;황새치;초문어;초한치;참치;도로;전복;생새우;간장새우;계란;소고기);새우튀김대마끼2p;고로케2p,N,1,
e_e000614,2305270001,1,0,,오겹살 2인분;물냉면;비빔냉면;김치찌개,N,1,
e_e000614,2305270002,1,0,,아이스크림(탱크보이;죠스바;월드콘;와일드바디;엔초),N,1,
e_e000614,2305280001,1,0,,콜드브루;말차라떼 아이스,N,1,
e_e000614,2305280003,1,0,,연어샐러드;호밀빵,N,4,
e_e000614,2305270001,1,3,,샌드위치;우유 [아침 9시 30분쯤 cu당산그린점을 방문하여 구매함],N,1,
e_e000614,2305280004,2,0,,상의 블라우스;나시탑;도서(매일 읽는 긍정의 한 줄),N,5,
e_e000614,2305280002,2,1,,참외;견과류;토마토;사과,N,5,
e_e000614,2305280004,3,1,,타임스퀘어 페어리가든,N,5,2
e_e000614,2305270002,4,1,,,,,
e_e000614,2305270001,4,2,,,,,
e_e000652,2305200004,1,0,,비빔막국수;물막국수;만두,Y,1,
e_e000652,2305200005,1,0,,아메리카노;연유커피;케익,N,1,
e_e000652,2305200003,3,0,,스카이 리프트타기,N,1,2
e_e000652,2305200003,3,3,,테마가든(장미원;어린이동물원),N,1,2
e_e000652,2305200003,3,4,,코끼리열차,N,1,2
e_e000652,2305200003,4,1,,,,,
e_e000652,2305200005,5,1,,,,,
e_e000652,2305200003,5,2,,,,,
e_e000656,2306040003,1,0,,돈가스;우동,N,1,
e_e000656,2306040004,1,0,,케이크,Y,1,
e_e000656,2306050001,1,2,,돈가스;우동,N,1,
e_e000656,2306040002,3,0,,방정환 기념 어린이 놀이;토끼와 함께 하는 놀이 체험,Y,5,1
e_e000656,2306050001,3,0,,놀이시설체험;공연관람,N,1,1
e_e000656,2306060002,3,0,,과학놀이;예술놀이;자연놀이 등,Y,1,1
e_e000656,2306040001,4,0,,,,,
e_e000656,2306060003,4,0,,,,,
e_e000665,2305190003,1,0,,에그샌드위치;쿠키,N,1,
e_e000665,2305190004,1,0,,자몽에이드;아메리카노,N,1,
e_e000665,2305200001,1,0,,아메리카노,N,1,
e_e000665,2305200003,1,0,,카페라떼,N,2,
e_e000665,2305200003,3,1,,장미꽃 구경,N,5,2
