COMPANION_SEQ,TRAVEL_ID,REL_CD,COMPANION_GENDER,COMPANION_AGE_GRP,COMPANION_SITUATION
3,e_e010234,5,2,3,1
2,e_e010234,3,2,6,1
1,e_e010292,8,1,4,1
2,e_e010344,2,1,1,1
1,e_e010344,1,1,4,1
1,e_e010362,1,2,4,1
1,e_e010388,7,1,3,1
1,e_e010470,8,2,3,1
1,e_e010518,8,1,3,1
1,e_e010606,8,2,3,1
1,e_e010711,8,1,4,1
1,e_e010748,7,2,3,1
1,e_e010750,8,1,3,1
1,e_e010982,8,1,3,1
1,e_e011158,1,1,4,1
1,e_e011189,8,1,3,1
1,e_e011206,8,1,4,1
1,e_e011233,8,1,3,1
1,e_e011310,8,1,3,1
1,e_e011358,8,1,3,1
2,e_e011461,2,1,1,1
1,e_e011461,1,1,5,1
1,e_e011738,7,2,3,1
1,e_e012031,8,1,4,1
1,e_e012072,8,2,3,1
1,e_e012372,8,2,3,1
1,e_e012444,7,1,3,1
1,f_f006339,8,2,3,1
