TRAVELER_ID,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM
e002100,41,남,60,5,1,2,2,13,,5,10,3,9,41,41830,11,11650,47,47130,5,4,5,2,5,5,5,5,경기도,서울,2인 가족 여행,2023-06-10~2023-06-10,3,1,2,1
e007276,11,여,20,5,2,1,4,12,,2,7,3,8,50,50110,26,26500,41,41820,6,2,3,1,2,7,1,7,서울특별시,경기,2인 여행(가족 외),2023-08-19~2023-08-19,3,1,7,1
e009599,41,여,30,5,1,1,3,3,,2,3,3,2,46,46130,26,26350,11,11680,3,3,3,4,4,5,3,3,경기도,경기,3인 이상 여행(가족 외),2023-08-25~2023-08-25,2,1,3,2
e004128,28,여,30,7,1,1,2,3,,5,7,2,1,11,11680,50,50130,50,50110,2,1,3,4,1,5,6,6,인천광역시,서울,나홀로 여행,2023-07-08~2023-07-08,1,2,4,0
e007918,41,남,20,5,1,1,1,3,,5,,1,1,42,42210,42,42170,44,44825,1,1,1,1,4,4,4,5,경기도,서울,2인 여행(가족 외),2023-08-20~2023-08-20,3,2,1,1
e005949,29,여,30,6,1,2,4,2,,1,4,2,2,50,50130,11,11110,42,42170,2,2,2,2,5,2,2,6,광주광역시,경기,자녀 동반 여행,2023-07-30~2023-08-01,3,8,7,3
e003250,27,남,20,6,3,1,4,2,,1,4,2,1,11,11170,50,50110,26,26350,7,3,3,6,3,4,2,7,대구광역시,서울,나홀로 여행,2023-06-28~2023-06-28,7,1,8,0
e003503,41,남,20,4,1,1,1,10,,4,,3,8,50,50110,42,42210,26,26170,1,1,1,1,1,1,7,7,경기도,경기,2인 여행(가족 외),2023-06-24~2023-06-25,3,6,1,1
e002362,11,남,60,4,1,2,3,11,,2,6,3,6,41,41480,42,42110,41,41650,1,4,4,7,2,2,6,5,서울특별시,경기,자녀 동반 여행,2023-06-03~2023-06-03,2,3,6,1
e000665,41,여,20,6,1,1,2,2,,5,5,2,1,41,41360,42,42150,11,11680,3,5,2,2,2,3,6,6,경기도,서울,2인 여행(가족 외),2023-05-19~2023-05-20,3,1,2,1
e001294,41,여,20,6,2,1,4,12,,2,9,3,4,50,50110,44,44130,42,42150,4,4,3,3,3,2,1,5,경기도,서울,2인 여행(가족 외),2023-05-28~2023-05-28,1,7,3,1
e003464,11,남,60,6,1,2,3,3,,6,7,3,2,42,42210,50,50130,26,26350,1,6,1,1,1,6,1,2,서울특별시,경기,자녀 동반 여행,2023-06-18~2023-06-18,3,1,2,1
e006485,41,여,50,4,1,2,1,9,,3,,3,4,50,50130,42,42150,26,26350,4,4,2,5,5,4,2,4,경기도,경기,3인 이상 여행(가족 외),2023-08-06~2023-08-06,6,5,3,2
e008013,46,여,30,4,1,1,4,12,,1,5,3,1,50,50110,50,50130,11,11170,7,2,3,4,4,3,3,6,전라남도,서울,3인 이상 여행(가족 외),2023-08-21~2023-08-21,1,3,4,2
e002083,28,남,20,6,1,1,1,3,,4,,3,5,11,11140,50,50130,26,26350,5,2,2,1,3,6,3,6,인천광역시,서울,2인 여행(가족 외),2023-06-06~2023-06-07,1,2,3,1
e003872,41,남,60,6,1,2,4,2,,7,8,2,1,42,42210,47,47920,46,46770,1,3,3,5,2,4,2,4,경기도,경기,2인 가족 여행,2023-07-01~2023-07-01,3,2,1,1
e008086,28,여,20,6,1,1,2,2,,4,6,3,5,50,50110,42,42230,11,11170,4,2,2,4,6,4,2,5,인천광역시,서울,2인 여행(가족 외),2023-08-26~2023-08-26,1,7,3,1
e006146,11,남,30,6,1,1,2,2,,4,6,2,1,50,50130,27,27200,41,41110,3,4,2,5,3,2,5,3,서울특별시,경기,2인 여행(가족 외),2023-08-19~2023-08-19,1,7,3,1
e004820,11,남,50,6,1,2,4,2,,9,12,2,2,50,50130,42,42210,41,41820,1,5,5,5,4,4,4,4,서울특별시,경기,3인 이상 여행(가족 외),2023-07-30~2023-07-30,1,3,2,3
e010982,11,여,20,6,2,1,4,12,,2,12,2,2,41,41650,41,41450,42,42210,6,1,1,6,7,5,7,2,서울특별시,경기,2인 여행(가족 외),2023-08-26~2023-08-26,7,3,1,1
e007664,11,남,30,6,1,1,3,3,,4,8,2,1,41,41360,48,48310,42,42150,2,4,4,3,2,3,5,6,서울특별시,경기,부모 동반 여행,2023-08-17~2023-08-17,1,6,3,2
e008679,41,남,20,6,3,1,3,4,,4,10,2,1,42,42150,11,11170,26,26500,2,1,2,1,2,1,1,6,경기도,서울,2인 가족 여행,2023-08-22~2023-08-22,4,2,1,1
e010116,11,남,20,6,2,1,2,12,,2,5,3,5,42,42720,47,47130,26,26710,7,1,2,4,6,4,6,2,경기도,인천,2인 여행(가족 외),2023-08-23~2023-08-23,2,5,3,1
e007884,30,여,20,5,1,1,1,2,,4,,1,1,41,41500,27,27260,31,31110,2,3,1,5,3,3,4,7,대전광역시,경기,나홀로 여행,2023-08-29~2023-08-29,7,1,4,0
e004926,41,남,30,6,1,2,3,3,,7,10,3,4,42,42210,26,26350,41,41830,2,1,2,1,1,6,7,2,경기도,경기,자녀 동반 여행,2023-07-21~2023-07-22,1,2,3,2
e003623,45,남,20,5,1,1,2,4,,3,3,2,2,42,42150,26,26440,11,11680,4,1,2,4,4,5,5,4,전라북도,경기,2인 여행(가족 외),2023-06-24~2023-06-25,7,3,4,1
e008879,11,여,20,6,1,1,2,3,,5,8,2,1,41,41820,41,41280,42,42150,6,6,2,5,4,6,1,7,서울특별시,경기,2인 가족 여행,2023-08-27~2023-08-27,1,7,5,1
e010518,41,여,20,5,2,1,4,12,,2,7,2,1,41,41820,41,41460,41,41280,4,4,4,4,4,4,4,4,서울특별시,인천,2인 여행(가족 외),2023-08-25~2023-08-25,9,8,4,1
e000337,41,남,30,7,1,1,3,3,,4,9,2,2,43,43150,44,44180,46,46110,3,1,3,6,3,2,6,5,경기도,서울,2인 여행(가족 외),2023-05-27~2023-05-29,5,3,10,1
e010224,41,여,20,6,1,1,3,3,,4,8,3,6,42,42210,48,48310,46,46130,4,2,5,5,2,4,1,5,경기도,인천,2인 여행(가족 외),2023-08-27~2023-08-27,2,3,4,1
